Id,TagName,Count,ExcerptPostId,WikiPostId
417,bosnian-croatian-serbian,17,1998,1997
422,phonetic-symbols,60,4269,4268
423,notation,26,3138,3137
427,polypersonalism,4,2017,2016
430,interjections,8,,
433,synonymy,30,4456,4455
435,transliteration,68,2316,2315
436,discourse,25,,
437,speech-recognition,48,4454,4453
440,rhyming,4,20650,20649
445,sapir-whorf-hypothesis,14,2335,2334
449,lexicon,74,4188,4187
450,mutual-intelligibility,26,27570,27569
451,hebrew,127,2314,2313
454,idiomaticity,22,2330,2329
457,phrasal-verbs,12,,
461,homophony,12,,
462,polysemy,12,,
463,idiolect,3,,
468,body-language,6,,
470,homonymy,25,4474,4473
473,african-languages,28,9350,9349
474,american-languages,14,2499,2498
479,endangered-languages,10,,
483,minimal-pairs,26,,
486,references,14,,
490,old-norse,30,26612,26611
492,truth-value,3,,
494,phonotactics,76,4450,4449
496,phrase-structure,84,11494,11493
497,mathematical-language,23,,
498,chomsky,65,4364,4363
503,word-sense-disambiguation,21,,
504,morphemes,49,26097,26096
506,word-boundaries,10,2802,2801
507,grimms-law,9,,
509,germanic-languages,172,3134,3133
515,grammatical-object,26,,
517,asl,16,17198,17197
518,spoken-language,71,19701,19700
524,symbol,21,,
527,vietnamese,31,3574,3573
532,semiotics,16,43086,43085
533,languages-of-china,5,,
534,bilabial,10,,
535,grammatical-subject,32,,
536,relative-clauses,39,,
539,dialect-mapping,13,,
541,sino-tibetan,14,,
543,code-switching,12,,
544,thai,45,3578,3577
545,slavic-languages,110,4452,4451
546,x-bar-theory,85,3178,3177
548,sentences,55,26069,26068
554,natural-languages,12,,
557,turkic-languages,36,4460,4459
562,tonal-languages,29,,
565,word-formation,47,26640,26639
569,latex,9,3586,3585
571,welsh,15,3560,3559
574,rhoticity,13,3742,3741
575,cantonese,9,26622,26621
577,mandarin,23,26104,26103
578,computer-science,33,,
579,australian-languages,14,26628,26627
583,frontness-backness,7,3648,3647
585,spe,13,3687,3686
586,clauses,53,21309,21308
590,onomastics,16,3721,3720
591,toponomastics,8,3723,3722
593,writing,31,,
594,derivation,42,26608,26607
595,n-grams,24,4344,4343
598,morphological-analysis,25,,
601,preverbs,2,,
603,aktionsart,7,4702,4701
604,trills,21,4458,4457
606,vowel-length,17,,
607,laterals,20,28841,28840
608,natural-gender,18,3893,3892
609,lojban,4,9519,9518
612,stems,12,,
613,diachronic,18,,
614,hungarian,21,,
616,sentiment-analysis,12,,
621,poetry,18,,
622,ergativity,24,4356,4355
623,verb-phrase,14,,
624,mediopassive,4,,
625,roots,48,26085,26084
628,adverbs,64,9356,9355
629,lemmas,13,,
630,recursion,14,,
631,deixis,12,,
632,person,11,38873,38872
634,assimilation,25,,
635,vowel-harmony,14,,
636,punctuation,36,,
637,atr,1,4210,4209
639,annotation,13,,
641,markedness,13,,
643,praat,104,15469,15468
650,tibetan,9,26626,26625
652,lao,21,4422,4421
654,nasals,28,,
655,aspiration,34,,
657,aave,5,,
659,lexemes,18,,
662,indo-aryan,36,26717,26716
663,dravidian,17,19703,19702
664,syllable-timing,16,,
665,rhythm,8,,
666,persian,56,16900,16899
669,coordination,18,,
671,set-phrases,6,,
672,stylometry,2,,
677,evidentiality,8,,
678,mood,22,19822,19821
681,allophones,54,26091,26090
685,writing-systems,166,19679,19678
688,tone-sandhi,6,,
689,dutch,30,26106,26105
691,valency,15,6426,6425
693,transformations,14,,
694,movement,47,,
697,transitivity,21,,
703,sandhi,13,,
704,gemination,8,,
705,vowel-height,6,4871,4870
706,agglutinative-languages,21,,
707,future,10,,
713,theta-role,20,,
714,mongolian,14,,
715,altaic-hypothesis,15,,
718,scope,7,7009,7008
732,readability,11,,
733,slovenian,6,26630,26629
734,irish,22,6435,6434
736,auxiliary-verbs,25,,
739,wordnet,20,26614,26613
740,vso,7,6538,6537
741,sov,6,6540,6539
742,svo,8,6542,6541
743,v2,7,26624,26623
746,passive,36,26616,26615
747,compl-distribution,5,6587,6586
760,constituents,22,,
761,prestige,4,,
762,thematic-roles,18,,
763,speech-synthesis,22,,
764,progressive,6,,
767,coarticulation,8,,
770,dependency-grammar,75,11440,11439
774,irregularity,6,,
780,questions,40,7096,7095
781,devanagari,14,7173,7172
782,colour-terms,9,7179,7178
783,possession,22,,
784,genitive,12,,
785,perfect,23,,
786,imperfect,4,,
788,aorist,5,,
790,predicatives,16,,
791,infinitive,33,26610,26609
792,triphthongs,7,,
796,hindustani,16,26815,26814
797,logic,66,,
800,ancient,43,,
801,words,111,26062,26061
802,adjuncts,28,9354,9353
803,phrases,40,26089,26088
806,declension,36,26093,26092
807,antonymy,7,,
814,ellipsis,21,,
817,errors,14,,
820,formants,28,,
821,nominals,16,,
822,consonant-clusters,15,,
823,diacritics,25,,
828,uralic,19,19705,19704
830,pitch-accent,19,,
832,list-of-languages,256,8929,8928
837,phrygian,3,,
842,collocations,14,,
844,nltk,23,20605,20604
845,binding-theory,20,,
846,swedish,29,9348,9347
849,graphemics,12,,
850,acronyms,8,9352,9351
851,unicode,29,27784,27783
853,language-identification,34,26349,26348
856,voice-biometrics,7,,
860,grammaticalisation,14,,
863,clitics,8,,
865,polysynthesis,5,,
866,glottal-stop,13,,
871,framework,6,,
872,vocatives,3,,
878,indian-languages,27,9501,9500
879,pos-tagging,19,26618,26617
880,imperative,20,,
882,quantitative-linguistics,19,,
886,malay,12,45397,45396
888,conjunctions,37,,
890,soft-question,10,,
900,swadesh-list,7,26638,26637
902,khmer,10,,
904,subjunctive,12,,
907,anaphora,23,,
911,metathesis,9,,
915,lambda-calculus,12,,
916,aphasiology,3,11516,11515
918,modality,31,19830,19829
922,information-structure,11,35607,35606
933,annotated-data,12,,
938,phoneme-inventories,16,,
940,old-english,40,,
943,old-french,10,,
944,resource-request,227,17110,17109
945,language-models,19,14714,14713
946,evaluation-metrics,6,,
948,complex-sentences,16,,
949,subordination,19,,
950,ctakes,3,14818,14817
952,summarization,6,14556,14555
953,tamil,10,26634,26633
954,datasets,37,31595,31594
956,lexical-relations,24,19816,19815
958,information-retrieval,3,14820,14819
964,entailment,12,15013,15012
971,control,13,,
972,raising,13,,
975,dialog-acts,11,,
977,voynich-manuscript,1,15439,15438
978,undeciphered-writing,13,,
979,conlang,24,29916,29915
981,quantifiers,20,,
982,constituency,11,,
988,meaning,81,,
989,statives,4,,
992,multiword-expression,9,16853,16852
995,systemic-functional,22,17031,17030
996,suprasegmentals,12,,
997,interdisciplinary,5,,
999,sampa,7,17055,17054
1002,pro-forms,5,,
1005,unaccusative,6,,
1009,philology,5,,
1013,python,20,,
1017,conditionals,13,,
1020,prototype-theory,6,,
1021,formal-semantics,89,,
1024,iast,3,17728,17727
1030,construction-grammar,10,,
1035,sound-symbolism,19,28780,28779
1040,modal-verbs,20,19828,19827
1045,urdu,7,,
1046,dental-fricative,18,20186,20185
1048,wh-words,15,20273,20272
1052,calques,6,20523,20522
1053,presupposition,7,20417,20416
1056,yiddish,9,21536,21535
1058,history-of-linguistics,40,,
1059,anatolian,7,20575,20574
1060,austronesian,13,20595,20594
1063,language-games,9,20794,20793
1065,tocharian,6,25524,25523
1071,finno-ugric,9,,
1072,standards,26,21143,21142
1075,text-classification,10,,
1076,reflexive,12,,
1090,prefixes,11,,
1091,language-planning,5,22966,22965
1100,greenlandic,1,23045,23044
1101,sumerian,31,26636,26635
1104,study-of-terms,11,23139,23138
1105,term-extraction,1,23141,23140
1107,toponyms,8,31547,31546
1112,government-and-binding,12,,
1113,pedagogy,3,,
1119,distributed-morphology,4,,
1122,umlaut,5,,
1124,sonority,9,25910,25909
1130,lfg,2,,
1131,noun-phrases,26,,
1133,entropy,11,26492,26491
1134,stopwords,2,26517,26516
1136,trees,6,,
1137,principal-parts,3,26649,26648
1138,non-human-language,9,26725,26724
1140,inversion,6,,
1143,argument,7,,
1144,language-preservation,2,26820,26819
1148,standard-average-european,10,26914,26913
1152,chomsky-hierarchy,11,27187,27186
1155,gothic,7,27290,27289
1156,morphosyntactic-alignment,7,,
1158,ontologies,7,,
1160,catalan,8,27467,27466
1161,syllabic-consonants,8,,
1164,gaelic,3,27587,27586
1165,zulu,3,,
1168,ainu,2,,
1170,logical-form,5,,
1179,polynesian-languages,2,28227,28226
1183,egyptian,27,,
1185,clusivity,10,28318,28317
1186,register,10,,
1187,traditional-grammar,4,28334,28333
1188,interslavic,4,28452,28451
1189,filler,6,28364,28363
1190,verbnet,2,28428,28427
1191,profanity,12,,
1192,complement,19,,
1194,geolinguistics,7,28496,28495
1199,causative,8,28715,28714
1205,natural-language-understanding,7,,
1206,romanization,20,28805,28804
1207,tagalog,4,,
1212,focus,7,,
1217,tense-aspect-mood,18,,
1218,speed,5,29554,29553
1221,italic,7,29692,29691
1224,hurrian,3,29965,29964
1226,formality,8,30117,30116
1227,hittite,18,,
1231,feature-structures,9,,
1233,bantu,7,33647,33646
1235,relational-nouns,2,,
1236,type-theory,15,,
1237,nahuatl,5,31261,31260
1248,grammatical-category,10,,
1256,metadata,1,32112,32111
1266,phoenician,5,,
1270,lingala,1,33645,33644
1272,cuneiform,37,,
1273,determinatives,3,,
1274,logograms,3,,
1275,piraha,3,,
1283,akkadian,24,36488,36487
1284,anthropology,8,,
1289,structural-linguistics,8,,
1294,lithuanian,7,,
1295,titles,4,,
1296,carnie,5,,
1303,danish,9,,
1308,occitan,5,,
1313,montague-grammar,13,,
1315,autosegmental-phonology,3,,
1317,context-free-grammars,7,,
1321,mutation,2,,
1322,transformational-grammar,7,,
1325,discontinous-constituents,3,,
1326,nasalization,8,,
1333,lexical,4,,
1334,metaphor,4,,
1342,rhyme,3,,
1346,treebanks,5,36870,36869
1347,hindi,6,,
1353,indus-script,7,37167,37166
1355,diminutive,4,37283,37282
1358,figure-of-speech,11,40343,40342
1362,luwian,2,,
1364,ukrainian,7,37933,37932
1369,speech-acts,3,,
1384,babylonian,2,,
1387,perso-arabic-script,6,,
1391,pronouns,140,48388,48387
1392,comparative-method,4,,
1393,avestan,6,,
1395,complexity,7,39163,39162
1397,afroasiatic,6,,
1405,rhotics,19,40430,40429
1406,textbooks,8,,
1407,homeland,2,41608,41607
1411,berber,2,,
1418,computer-aided-communication,2,43035,43034
1420,acoustics,4,,
1421,onomatopoeia,4,,
1422,aramaic,6,43202,43201
1438,ossetian,1,44972,44971
1441,predicate,5,,
1442,hmong,2,,
1445,modification,2,,
1446,topic-comment,4,,
1448,basque,6,45557,45556
1452,denotation,6,,
1460,function,5,,
1461,tungusic,2,45908,45907
1467,nominalization,3,,
1471,language-generation,3,46231,46230
1473,caucasian-languages,3,46394,46393
1477,large-language-models,3,47020,47019
1484,linguistic-anthropology,2,,
1485,corpus-linguistics,9,,
1488,semantic-roles,3,,
1499,untagged,3,,
1505,ugaritic,2,,
1506,demonstratives,1,,
1509,antipassive,1,,
1510,split-ergative,1,,
1511,agentivity,2,,
1512,active,1,,
1513,parasitic-gaps,1,,
1514,greenburg,1,,
1515,turn-taking,1,,
1517,glottochronology,2,,
1518,natural-semantic-metalanguage,10,,
1519,simile,1,,
1523,mathematical-linguistics,2,,
1525,rhetoric,1,,
